department,service_request_type,status,closure_reason,local_area,channel,open_dt,close_dt,open_year,open_month,open_month_name,open_day_of_week,closure_days,is_closed
Dbl - Services Centre,Building And Development Inquiry Case,Close,Reviewed And No Action Planned,Riley Park,Phone,2022-09-16 12:44:00-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Pr - Park Operations,Parks Operations And Maintenance Case,Close,Reviewed And No Action Planned,Kensington-Cedar Cottage,Phone,2022-09-16 12:45:00-07:00,2022-10-18,2022,9,Sep,Friday,31.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Kitsilano,Web,2022-09-16 12:45:00-07:00,2022-09-23,2022,9,Sep,Friday,6.0,True
Eng - Sanitation Services,Street Litter Can Case,Close,Service Provided,Downtown,Mobile App,2022-09-16 12:49:31-07:00,2022-09-19,2022,9,Sep,Friday,2.0,True
Eng - Sewer Operations,Sewer Backup Case,Close,Service Provided,Shaughnessy,Phone,2022-09-16 12:52:31-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Dbl - Animal Services,Animal Services Inquiry Case,Close,Dispatched To Crew,Downtown,Web,2022-09-16 12:57:33-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Dbl - Proactive Enforcement,Short-Term Rental Request Case,Close,Service Provided,Mount Pleasant,Phone,2022-09-16 12:58:13-07:00,2022-09-22,2022,9,Sep,Friday,5.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-09-16 13:00:21-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Pr - Park Rangers,Park Ranger Request Case,Close,Reviewed And No Action Planned,Marpole,Mobile App,2022-09-16 13:02:00-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Refm - Environmental Protection,Environmental Protection Inquiry Case,Close,Assigned To Inspector,Strathcona,Phone,2022-09-16 13:03:17-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Eng - Streets Furniture,Street Furniture Maintenance Case,Close,Service Provided,Kensington-Cedar Cottage,Web,2022-09-16 13:07:00-07:00,2022-11-25,2022,9,Sep,Friday,69.0,True
311 Contact Centre,Emergency Referral Tracking Report Case,Close,Closed Automatically And Sent To Service Group,,Phone,2022-09-16 13:07:52-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Dunbar-Southlands,Phone,2022-09-16 13:08:00-07:00,2022-09-20,2022,9,Sep,Friday,3.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Sunset,Web,2022-09-16 13:10:00-07:00,2022-09-21,2022,9,Sep,Friday,4.0,True
Eng - Streets Operations,Bridge And Structures Maintenance Case,Close,Service Provided,Hastings-Sunrise,Phone,2022-09-16 13:18:00-07:00,2022-09-29,2022,9,Sep,Friday,12.0,True
Eng - Streets Operations,Sidewalk Repair Case,Close,Service Provided,Downtown,Web,2022-09-16 13:23:53-07:00,2022-09-23,2022,9,Sep,Friday,6.0,True
311 Contact Centre,City Services Feedback Case,Close,Service Provided,Grandview-Woodland,Phone,2022-09-16 13:25:21-07:00,2022-09-20,2022,9,Sep,Friday,3.0,True
Eng - Sanitation Services,Garbage Bin Request Case,Close,Service Provided,Dunbar-Southlands,Phone,2022-09-16 13:30:01-07:00,2022-09-29,2022,9,Sep,Friday,12.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Large Case,Close,Service Provided,Mount Pleasant,Web,2022-09-16 13:31:16-07:00,2022-09-27,2022,9,Sep,Friday,10.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Service Provided,Sunset,Phone,2022-09-16 13:31:54-07:00,2022-09-22,2022,9,Sep,Friday,5.0,True
Eng - Parking Management,Residential Parking Permit Request Case,Close,Service Provided,West End,Web,2022-09-08 09:23:04-07:00,2022-09-16,2022,9,Sep,Thursday,7.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Service Provided,West End,Mobile App,2022-09-08 09:26:37-07:00,2022-09-08,2022,9,Sep,Thursday,-1.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,Downtown,Web,2022-09-08 09:29:00-07:00,2022-09-12,2022,9,Sep,Thursday,3.0,True
311 Contact Centre,Employee Feedback Case,Close,Referred To Another Service Group,Downtown,Phone,2022-09-08 09:30:10-07:00,2022-09-08,2022,9,Sep,Thursday,-1.0,True
Eng - Sanitation Services,Sanitation Operations Inquiry Case,Close,Unknown,Sunset,Phone,2022-09-08 09:31:04-07:00,2022-09-08,2022,9,Sep,Thursday,-1.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Reviewed And No Action Planned,,Phone,2022-09-08 09:41:02-07:00,2022-09-12,2022,9,Sep,Thursday,3.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-09-08 09:44:00-07:00,2022-09-12,2022,9,Sep,Thursday,3.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,,Web,2022-09-08 09:53:00-07:00,2022-09-09,2022,9,Sep,Thursday,0.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Large Case,Open,,West End,Phone,2022-09-08 09:59:00-07:00,,2022,9,Sep,Thursday,,False
Pr - Corporate Services,Parks Feedback Case,Open,,,Web,2022-09-08 10:00:00-07:00,,2022,9,Sep,Thursday,,False
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kensington-Cedar Cottage,Web,2022-12-09 00:05:22-08:00,2022-12-13,2022,12,Dec,Friday,3.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Dunbar-Southlands,Web,2022-12-09 00:28:00-08:00,2022-12-13,2022,12,Dec,Friday,3.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Grandview-Woodland,Web,2022-12-09 00:36:21-08:00,2022-12-11,2022,12,Dec,Friday,1.0,True
311 Contact Centre,General Feedback Case,Close,Service Provided,,Web,2022-12-09 01:42:00-08:00,2023-01-09,2022,12,Dec,Friday,30.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Kitsilano,Web,2022-12-09 06:47:00-08:00,2022-12-09,2022,12,Dec,Friday,-1.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Victoria-Fraserview,Phone,2022-12-09 07:20:00-08:00,2022-12-15,2022,12,Dec,Friday,5.0,True
Eng - Utilities Management,External Utility Concern Case,Open,,West End,Web,2022-12-09 07:43:37-08:00,,2022,12,Dec,Friday,,False
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Riley Park,Web,2022-12-09 08:11:26-08:00,2022-12-14,2022,12,Dec,Friday,4.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,West End,E-Mail,2022-09-16 07:12:00-07:00,2022-09-21,2022,9,Sep,Friday,4.0,True
Dbl - Building And Trades Inspections Clerks,Private Property Construction Noise Case,Close,Assigned To Inspector,Riley Park,Web,2022-09-16 07:35:59-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Vfrs - Community Safety And Risk Reduction,Fire Safety Hazards Case,Close,Service Provided,Fairview,Phone,2022-09-16 07:37:21-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Pr - Park Operations,Parks Operations And Maintenance Case,Close,Service Provided,West Point Grey,Phone,2022-09-16 07:53:00-07:00,2022-11-01,2022,9,Sep,Friday,45.0,True
Eng - Streets Operations,Zz Old - Urban Issues On City Property Case,Close,Unknown,Downtown,Mobile App,2022-09-16 08:26:49-07:00,2022-09-28,2022,9,Sep,Friday,11.0,True
Pr - Park Operations,Parks Operations And Maintenance Case,Close,Further Action Has Been Planned,West End,Phone,2022-09-16 08:32:00-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Large Case,Close,Service Provided,Hastings-Sunrise,Mobile App,2022-09-16 08:41:09-07:00,2022-09-22,2022,9,Sep,Friday,5.0,True
Eng - Sanitation Services,Dead Animal Pick Up Case,Close,Issue Not Found Or Inaccessible,Renfrew-Collingwood,Phone,2022-09-16 08:45:00-07:00,2022-09-21,2022,9,Sep,Friday,4.0,True
Dbl - Animal Services,Dog Licence Case,Close,Service Provided,Dunbar-Southlands,Phone,2022-09-16 08:51:03-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Eng - Traffic And Electrical Operations And Design,Traffic Operations Construction Concern Case,Close,Service Provided,Mount Pleasant,Phone,2022-09-16 08:55:02-07:00,2022-09-23,2022,9,Sep,Friday,6.0,True
311 Contact Centre,General Feedback Case,Close,Referred To Another Service Group,,Web,2022-09-16 08:55:29-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Eng - Streets Operations,Zz Old - Urban Issues On City Property Case,Close,Reviewed And No Action Planned,Hastings-Sunrise,Phone,2022-09-16 09:01:09-07:00,2022-09-20,2022,9,Sep,Friday,3.0,True
Eng - Sanitation Services,Garbage Bin Request Case,Close,Service Provided,Hastings-Sunrise,Phone,2022-09-16 09:09:21-07:00,2022-10-13,2022,9,Sep,Friday,26.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-09-16 09:11:24-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Shaughnessy,Web,2022-09-16 09:18:00-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Eng - Sanitation Services,Sanitation Operations Inquiry Case,Close,Issue Not Found Or Inaccessible,Victoria-Fraserview,Phone,2022-09-16 09:33:52-07:00,2022-09-22,2022,9,Sep,Friday,5.0,True
Dbl - Animal Services,Animal Services Inquiry Case,Close,Alternate Service Required,,Phone,2022-09-16 09:37:15-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,,Web,2022-09-16 09:37:00-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Service Provided,Strathcona,Mobile App,2022-09-16 09:40:08-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Dbl - Proactive Enforcement,Short-Term Rental Concern Case,Close,Alternate Service Required,Mount Pleasant,Web,2022-09-16 09:52:11-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Reviewed And No Action Planned,Sunset,Web,2022-09-16 09:53:33-07:00,2022-09-18,2022,9,Sep,Friday,1.0,True
Eng - Traffic And Electrical Operations And Design,Sign Repair Case,Close,Further Action Has Been Planned,Downtown,Web,2022-09-16 09:54:04-07:00,2022-09-27,2022,9,Sep,Friday,10.0,True
Vpd - False Alarm Reduction Program,Security Alarm Permit (Revenue Services) Case,Close,Service Provided,,Web,2022-09-16 10:12:40-07:00,2022-09-20,2022,9,Sep,Friday,3.0,True
Fsc - Vacancy Tax,Empty Homes Tax Request Case,Close,Service Provided,West End,Phone,2022-09-16 10:24:05-07:00,2022-09-20,2022,9,Sep,Friday,3.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Reviewed And No Action Planned,West Point Grey,Web,2022-09-16 10:25:08-07:00,2022-09-18,2022,9,Sep,Friday,1.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Referred To Another Service Group,Mount Pleasant,Mobile App,2022-09-16 10:37:00-07:00,2022-09-20,2022,9,Sep,Friday,3.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Reviewed And No Action Planned,West Point Grey,Phone,2022-09-16 10:50:29-07:00,2022-09-18,2022,9,Sep,Friday,1.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-09-16 10:50:00-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Issue Not Found Or Inaccessible,Downtown,Mobile App,2022-09-16 10:53:24-07:00,2022-09-19,2022,9,Sep,Friday,2.0,True
Eng - Sanitation Services,Green Bin Request Case,Close,Service Provided,West Point Grey,Phone,2022-09-16 11:01:58-07:00,2022-09-27,2022,9,Sep,Friday,10.0,True
Pr - Corporate Services,Park Board Commissioner Feedback Case,Close,Service Provided,,Phone,2022-09-16 11:09:00-07:00,2022-09-26,2022,9,Sep,Friday,9.0,True
Eng - Streets Operations,Zz Old - Urban Issues On City Property Case,Close,Unknown,Downtown,Phone,2022-09-16 11:37:59-07:00,2022-09-28,2022,9,Sep,Friday,11.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Alternate Service Required,West End,Web,2022-09-16 11:40:00-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Kitsilano,Web,2022-09-16 11:42:00-07:00,2022-09-22,2022,9,Sep,Friday,5.0,True
Vfrs - Community Safety And Risk Reduction,Lockbox Request Case,Close,Assigned To Inspector,Killarney,Phone,2022-09-16 11:45:53-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Dunbar-Southlands,Web,2022-09-16 11:46:21-07:00,2022-09-18,2022,9,Sep,Friday,1.0,True
Eng - Integrated Graffiti Management,Free Paint Voucher Request Case,Close,Referred To Another Service Group,Fairview,Web,2022-09-16 11:50:01-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-09-16 12:03:52-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Eng - Sanitation Services,Garbage Bin Request Case,Close,Service Provided,Killarney,Phone,2022-09-16 12:06:59-07:00,2022-09-21,2022,9,Sep,Friday,4.0,True
Eng - Streets Operations,Vegetation Encroachment Of City Property Case,Close,Service Provided,Kensington-Cedar Cottage,Phone,2022-09-16 12:07:00-07:00,2022-09-28,2022,9,Sep,Friday,11.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Reviewed And No Action Planned,Kensington-Cedar Cottage,Mobile App,2022-09-16 12:20:00-07:00,2022-09-20,2022,9,Sep,Friday,3.0,True
Eng - Streets Operations,Zz Old - Urban Issues On City Property Case,Close,Unknown,Downtown,Mobile App,2022-09-16 12:21:33-07:00,2022-09-29,2022,9,Sep,Friday,12.0,True
311 Contact Centre,City Services Feedback Case,Close,Referred To Another Service Group,Riley Park,Phone,2022-09-16 12:21:51-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Eng - Sanitation Services,Abandoned Mattress Case,Close,Issue Not Found Or Inaccessible,Killarney,Mobile App,2022-09-16 12:39:43-07:00,2022-09-22,2022,9,Sep,Friday,5.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-09-16 12:40:05-07:00,2022-09-16,2022,9,Sep,Friday,-1.0,True
Eng - Sanitation Services,Garbage Bin Request Case,Close,Service Provided,Shaughnessy,Phone,2022-09-16 12:42:58-07:00,2022-10-03,2022,9,Sep,Friday,16.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Insufficient Info,Marpole,Mobile App,2022-09-16 12:55:22-07:00,2022-09-18,2022,9,Sep,Friday,1.0,True
Eng - Waterworks Operations,Water Service Line Turn On Or Off Request Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-09-16 12:56:00-07:00,2022-09-23,2022,9,Sep,Friday,6.0,True
311 Contact Centre,City Services Feedback Case,Close,Service Provided,Dunbar-Southlands,Phone,2022-09-16 12:57:00-07:00,2025-01-15,2022,9,Sep,Friday,851.0,True
Eng - Sanitation Services,Abandoned Mattress Case,Close,Service Provided,Arbutus Ridge,Web,2022-09-16 13:02:26-07:00,2022-09-23,2022,9,Sep,Friday,6.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Reviewed And No Action Planned,Sunset,Web,2022-10-17 14:23:03-07:00,2022-10-24,2022,10,Oct,Monday,6.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Service Provided,Downtown,Web,2022-10-17 14:27:51-07:00,2022-10-20,2022,10,Oct,Monday,2.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-10-17 14:30:31-07:00,2022-10-17,2022,10,Oct,Monday,-1.0,True
Eng - Solid Waste Programs,Commercial Waste Container Concern Case,Close,Reviewed And No Action Planned,Downtown,Web,2022-10-17 14:31:03-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Eng - Sanitation Services,Garbage Bin Request Case,Close,Service Provided,Sunset,Phone,2022-10-17 14:32:08-07:00,2022-11-02,2022,10,Oct,Monday,15.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Kensington-Cedar Cottage,Phone,2022-10-17 14:58:00-07:00,2022-10-24,2022,10,Oct,Monday,6.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Sunset,Phone,2022-10-17 15:05:00-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Sunset,Web,2022-10-17 15:06:37-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
311 Contact Centre,General Feedback Case,Close,Referred To Another Service Group,,Web,2022-10-17 15:19:00-07:00,2024-08-12,2022,10,Oct,Monday,664.0,True
Eng - Streets Operations,Street Repair Case,Close,Service Provided,Downtown,Mobile App,2022-10-17 15:20:44-07:00,2022-10-25,2022,10,Oct,Monday,7.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Sunset,Phone,2022-10-17 15:35:00-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-10-17 15:39:15-07:00,2022-10-17,2022,10,Oct,Monday,-1.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-10-17 15:44:00-07:00,2022-10-17,2022,10,Oct,Monday,-1.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Service Provided,Strathcona,Phone,2022-10-17 15:55:23-07:00,2022-10-19,2022,10,Oct,Monday,1.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Reviewed And No Action Planned,,Web,2022-10-17 15:57:29-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Refm - Environmental Protection,Environmental Protection Inquiry Case,Close,Assigned To Inspector,Grandview-Woodland,Phone,2022-10-17 15:57:00-07:00,2022-10-17,2022,10,Oct,Monday,-1.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Insufficient Info,West Point Grey,Web,2022-10-17 15:59:55-07:00,2022-10-17,2022,10,Oct,Monday,-1.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Insufficient Info,West Point Grey,Web,2022-10-17 16:00:17-07:00,2022-10-17,2022,10,Oct,Monday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Riley Park,Phone,2022-10-17 16:01:00-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Strathcona,Web,2022-10-17 16:04:00-07:00,2022-10-25,2022,10,Oct,Monday,7.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Referred To Another Service Group,Hastings-Sunrise,Web,2022-10-17 16:04:00-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Service Provided,Grandview-Woodland,Mobile App,2022-10-17 16:10:59-07:00,2022-10-17,2022,10,Oct,Monday,-1.0,True
Pr - Corporate Services,Park Board Commissioner Feedback Case,Close,Service Provided,,Chat,2022-10-17 16:12:00-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Eng - Sanitation Services,Garbage Bin Request Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-10-17 16:15:01-07:00,2022-10-28,2022,10,Oct,Monday,10.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Sunset,Web,2022-10-17 16:16:53-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Eng - Sanitation Services,Abandoned Mattress Case,Close,Issue Not Found Or Inaccessible,Mount Pleasant,Mobile App,2022-10-17 16:23:44-07:00,2022-11-16,2022,10,Oct,Monday,29.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-10-17 16:43:35-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Hastings-Sunrise,Web,2022-10-17 16:45:30-07:00,2022-10-25,2022,10,Oct,Monday,7.0,True
Dbl - Animal Services,Animal Concern Case,Close,Dispatched To Crew,Grandview-Woodland,Web,2022-10-17 16:48:25-07:00,2022-10-17,2022,10,Oct,Monday,-1.0,True
311 Contact Centre,General Feedback Case,Close,Service Provided,,Web,2022-10-17 16:49:07-07:00,2022-10-17,2022,10,Oct,Monday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Sunset,Phone,2022-10-17 16:52:00-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Eng - Streets Operations,General Street Issues Case,Close,Service Provided,Dunbar-Southlands,Phone,2022-10-17 16:54:44-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Service Provided,Kitsilano,Phone,2022-10-17 16:57:14-07:00,2022-10-21,2022,10,Oct,Monday,3.0,True
Pr - Corporate Services,Parks Feedback Case,Close,Service Provided,,Web,2022-10-17 16:57:00-07:00,2022-10-17,2022,10,Oct,Monday,-1.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-10-17 17:06:38-07:00,2022-10-17,2022,10,Oct,Monday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Riley Park,Web,2022-10-17 17:14:20-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Reviewed And No Action Planned,South Cambie,Web,2022-10-17 17:15:07-07:00,2022-10-20,2022,10,Oct,Monday,2.0,True
Eng - Sanitation Services,Garbage Bin Request Case,Close,Reviewed And No Action Planned,Renfrew-Collingwood,Web,2022-10-17 17:23:25-07:00,2022-10-20,2022,10,Oct,Monday,2.0,True
Pr - Corporate Services,Parks Feedback Case,Close,Referred To Another Service Group,,Mobile App,2022-10-17 17:24:00-07:00,2022-10-17,2022,10,Oct,Monday,-1.0,True
311 Contact Centre,City Services Feedback Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-10-17 17:24:53-07:00,2022-10-21,2022,10,Oct,Monday,3.0,True
Eng - Street Use Management,Street And Sidewalk Use Request Case,Close,Service Provided,Grandview-Woodland,Phone,2022-10-17 17:26:00-07:00,2022-11-03,2022,10,Oct,Monday,16.0,True
Eng - Traffic And Electrical Operations And Design,Traffic Signal Repair Case,Close,Service Provided,Kitsilano,Phone,2022-10-17 17:29:07-07:00,2022-10-19,2022,10,Oct,Monday,1.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Large Case,Close,Service Provided,Kensington-Cedar Cottage,Phone,2022-10-17 17:30:00-07:00,2022-10-20,2022,10,Oct,Monday,2.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Renfrew-Collingwood,Phone,2022-10-17 17:33:00-07:00,2022-10-24,2022,10,Oct,Monday,6.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Hastings-Sunrise,Web,2022-10-17 17:46:00-07:00,2022-11-02,2022,10,Oct,Monday,15.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Insufficient Info,Hastings-Sunrise,Web,2022-10-17 18:00:18-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Unknown,Downtown,Mobile App,2022-10-17 18:11:04-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Eng - Waterworks Operations,Water Leak Case,Close,Service Provided,Hastings-Sunrise,Phone,2022-10-17 18:11:07-07:00,2022-11-01,2022,10,Oct,Monday,14.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Assigned To Inspector,Kitsilano,Phone,2022-10-17 18:47:37-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Assigned To Inspector,Kitsilano,Phone,2022-10-17 18:49:19-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Riley Park,Web,2022-10-17 18:49:20-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Insufficient Info,West End,Phone,2022-10-17 19:15:28-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Insufficient Info,,Web,2022-10-17 19:16:00-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Assigned To Inspector,Downtown,Phone,2022-10-17 19:25:04-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Eng - Sanitation Services,Green Bin Request Case,Close,Service Provided,Sunset,Phone,2022-10-17 19:53:48-07:00,2022-10-21,2022,10,Oct,Monday,3.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Service Provided,Strathcona,Web,2022-10-17 19:53:58-07:00,2022-11-10,2022,10,Oct,Monday,23.0,True
Eng - Solid Waste Programs,Commercial Waste Container Concern Case,Close,Service Provided,Marpole,Mobile App,2022-10-17 20:06:19-07:00,2022-10-20,2022,10,Oct,Monday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Riley Park,Web,2022-10-17 20:16:34-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Eng - Street Use Management,Street And Sidewalk Use Request Case,Close,Assigned To Inspector,Fairview,Phone,2022-10-17 20:21:00-07:00,2022-10-19,2022,10,Oct,Monday,1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kensington-Cedar Cottage,Web,2022-10-17 20:23:41-07:00,2022-10-18,2022,10,Oct,Monday,0.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Fairview,Web,2022-10-17 20:23:00-07:00,2022-10-26,2022,10,Oct,Monday,8.0,True
311 Contact Centre,General Feedback Case,Close,Service Provided,,Web,2022-10-17 20:41:46-07:00,2022-10-17,2022,10,Oct,Monday,-1.0,True
Eng - Traffic And Electrical Operations And Design,Street Light Out Case,Close,Service Provided,Marpole,Web,2022-10-17 20:58:03-07:00,2022-10-25,2022,10,Oct,Monday,7.0,True
Eng - Parking Management,Parking Management Inquiry Case,Close,Service Provided,Marpole,Phone,2022-10-17 21:43:18-07:00,2022-10-24,2022,10,Oct,Monday,6.0,True
Eng - Traffic And Electrical Operations And Design,Street Light Out Case,Close,Service Provided,Marpole,Mobile App,2022-10-18 00:34:41-07:00,2023-01-09,2022,10,Oct,Tuesday,82.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-10-18 06:34:12-07:00,2022-10-18,2022,10,Oct,Tuesday,-1.0,True
